Date,Rating,Job Title,Summary,ProComments,ConComments,Status,Location,Advice to Mgmt,City,State
2/8/18,2,Customer Service Representative,"""Stressful environment""",Great benefits and pay for the area.,"Micromanaging leadership, stressful environment, inflexible schedules",Current Employee ,"Fredericksburg, VA",,Fredericksburg, VA
2/8/18,2,Anonymous Employee,"""A great place to start""",Great training for the position before you start.Great retirement benefits.,Micromanaged.The rating/grading process makes it impossible at times to grow within the company.,Current Employee ,"Woodbury, NY","Think about catching up with other companies, and allowing remote access.",Woodbury, NY
1/24/18,5,Claims Service Representative,"""Great place to work!""",It was great to work for a company that cares about your well being. Geico is a great place to work!,Between handling customers and your files it can sometimes be stressful. It’s important to stay on top of your workload.,Former Employee ,"Buffalo, NY",Keep hiring good people to make everyone’s day better,Buffalo, NY
1/22/18,5,Anonymous Employee,"""Loved working here""","Overall, great training programs were provided",Upper management could be very numbers focused. Not enough care placed on the associates.,Current Employee ,,,,
2/27/18,1,Sales Representative,"""sales""",good money nice benefits and,horrible hours like really bad,Former Employee ,"Virginia Beach, VA",,Virginia Beach, VA
1/19/18,5,Product Modeling Analyst II,"""Product Modeling Analyst II""","Great work-life balance (no overtime). Positive team environment, but also opportunity to grow as an individual. Opportunity to move up within company, as they like to promote from within. Profit sharing provides great contributions to retirement funds.",Cost of living in area is quite high. Teleworking is limited to a few days per year.,Current Employee ,,Continue offering promotional opportunities and salary reviews at regular intervals. Shows the analysts they are valued.,,
1/22/18,4,Anonymous Employee,"""Good Benefits, pay; sometimes tedious work""","You learn a lot at GEICO and there are lots of opportunity for promotion. The benefits are also good and they have a tuition reimbursement program, so you can work towards your degree, if you don't have it yet.","Because people can be promoted quickly, there are supervisors and managers who have no experience. This can lead to micromanaging and not doing anything to motivate employees.",Former Employee ,"San Diego, CA",Some type of supervisor/management training.,San Diego, CA
2/5/18,3,Auto Customer Service,"""Just ok""","Good benefits, friendly co workers","Customer service is rigorous, must stay seated at desk for hours and lots of calls",Former Employee ,"Fredericksburg, VA",More breaks,Fredericksburg, VA
1/20/18,4,CSR-1,"""CSR""","Great benefits, job security, decent pay, training on the spot, amazing cafeteria and gym!",Some management and all of Customer Service,Former Employee ,"Lakeland, FL",Treat people like they are humans,Lakeland, FL
2/1/18,3,Anonymous Employee,"""image tech""","advancement opportunities available, competitive environment amongst peers, great incentives and benefits","very fast pace environment, numbers and quotas have to be met, that can be stressful",Former Employee ,"Macon, GA",,Macon, GA
1/19/18,5,Anonymous Employee,"""god""",amazing place to work yes,all is well very micro managed,Current Employee ,,,,
1/30/18,2,Customer Service Representative,"""Great place to work if you're a robot""",Benefits Profit Sharing Stable Job Great co-workers,"Micromanagment is insane. Very difficult to move up even if you have great numbers.If you have health issues don't even bother applying here. I had my mental and physical health under control until I started working here. The stress put me back a few years in my progress.If you ask questions about changes or management you become a target.My calls are good but I'll get hit with something every once in a while that was never taught to me (or most of us) but we're still expected to know somehow?These can range from basic to critical errors that can lead to termination if you have 3 of them.Critical errors include:Having a customer on hold for 5 minutes(Considering it can take upwards of 10 minutes to get help from a supervisor this is ridiculous)3 of those and you can be fired. Seriously.Managers are always in meetings and if you need manager approval for something, oh well. This also is an issue for the above critical error.Doctors notes are useless. You can still be fired even if you have one.I wish I could have made this place work for me. I really wanted to.",Current Employee ,"Fredericksburg, VA",I don't even know where to start. An overhaul would be required at this point.,Fredericksburg, VA
1/31/18,3,TA2 Claims Adjuster,"""it was OK""",People are decent. Pay was ok for entry lv.,Management was very strict. Lots of metrics.,Former Employee ,"Buffalo, NY",,Buffalo, NY
1/31/18,3,Anonymous Employee,"""Customer Service Representative""","ability to move up if meeting ""expectations""","unrealistic expectations, micro-managed constantly, requires patience",Current Employee ,,,,
1/31/18,2,Customer Service Representative,"""The worst""","Benefits, fun sometimes, good co-workers","Work and life balance, stressful, micromanagement, uncaring supervisor and management, your expendable when you work here.",Former Employee ,"Macon, GA",Change everything including more pay to compensate for the amount of stress that workers have to endure.,Macon, GA
2/22/18,1,Anonymous Employee,"""MOAT MDP""","simple work, hard to fail","Don't know where to start. not flexible company, boring, don't value employees, program is a failure",Former Employee ,,be respectful of employees,,
1/10/18,5,Liability Claims Representative,"""Liability Claims Representative""","Great benefits, great time off, paid sick time, and salary is over 45K, and the training is great as well! Nice people to talk to, and tuition reimbursement for those interested. Diversity everywhere.","Better cafeteria , and the Starbucks is a pluse, but also a better gym for the employees to workout.",Current Employee ,"Indianapolis, IN","Hours of operations, need more 4X10 shifts, shifts that are 10 hours a day, and off 3 days in a row! that would be great GEICO!!",Indianapolis, IN
1/17/18,4,Anonymous Employee,"""Mostly positive""","Good pay, good benefits, growth","heavy work load, micro management",Current Employee ,,,,
1/17/18,4,Anonymous Employee,"""Great place""","Great starting pay, professional atmosphere",Wish the schedule could be more flexible,Current Employee ,,,,
1/16/18,5,Anonymous Employee,""":)""",Great company to work for!,Not for someone who doesn't like a fast pace environment,Current Employee ,,,,
1/16/18,5,Anonymous Employee,"""GEICO Houston""",Good benefits and people are nice,Management really doesnt care about you,Current Employee ,,,,
2/21/18,1,Anonymous Employee,"""Customer Service""",Benefits and paycheck not much else,Work harder than dog check brain at door,Former Employee ,"Lakeland, FL",Treat people bettert,Lakeland, FL
1/15/18,4,Anonymous Employee,"""Customer Service""","paid hourly, medical, dental, vision","work schedule, changing things short notice",Current Employee ,,stop changing things with short notice,,
1/28/18,3,Customer Service Representative,"""Too Much Micromanagement""","Good pay, lots of overtime opportunities, good way to get your insurance license for free","Not the best hours, management is overbearing, very particular about the way things get done, extremely stressful",Current Employee ,,"The less stress you put on employees, the better they will do. It says a lot when the majority of I knew were on some type of anxiety medication.",,
1/27/18,3,PIp Adjuster,"""Good company, but difficult to manage work/life balance""",Good pay comparable to the areaBonusesAbility to move to different positionsEducation reimbursement,WorkloadMicromanagementNot many perksRun down buildingHave to handle many callsnot much else,Current Employee ,"Woodbury, NY",,Woodbury, NY
1/11/18,5,Senior Outside Security Investigator,"""SIU Outside Investigator""",Work from homeCompany carGreat insuranceProfit sharingGreat teamworkLots of opportunity to advance,Seems like there is always someone making changes just for the sake of making change.,Current Employee ,"Dallas, TX",,Dallas, TX
1/25/18,3,Anonymous Employee,"""Sales Associate""","Great company with great benefits , the pay is based on how driven you are to make sales!","Hours to work are slim picking, if you want to work a different shift the process to change is quite lengthy.",Former Employee ,,,,
1/10/18,5,Anonymous Employee,"""Im not sure I don’t know""",The people the environment always something fun to do,Management has no heart for us as employees,Former Employee ,"Indianapolis, IN",,Indianapolis, IN
2/15/18,1,Anonymous Employee,"""Sr systems engineer""",Great company to work with.great benefits.,Work is little hectic and always busy.,Current Employee ,,,,
1/25/18,2,Anonymous Employee,"""Claims Service Representative""",Paid training. Discounts on auto insurance.,Stressful work environment with quantity of calls received over quality.,Former Employee ,"Virginia Beach, VA",,Virginia Beach, VA
1/24/18,3,Anonymous Employee,"""Crappy Pay""",Amazing Supervisors and a company car,Pay is well below industry standard,Former Employee ,,Get employee input for goals,,
1/2/18,5,Anonymous Employee,"""Claims""",Recommend to anyone interested in working for Geico,I can’t tbink of anything that categorize as com,Former Employee ,,,,
1/9/18,4,Anonymous Employee,"""Depends on your supervisor""","Benifits, wages, training, opportunity, and profit sharing.","High stress, Little recognition, Bad supervision.",Former Employee ,,,,
1/18/18,2,Anonymous Employee,"""Claims Liability Adjuster""",#NAME?,- training classes are useless- promotes employees too quickly into positions they have no idea what they are doing    - many supervisors have no idea what they are doing- rampant favoritism- quantity over quality,Former Employee ,,,,
1/7/18,5,Anonymous Employee,"""Amazing""","They give you so much, and want to help you advance you're career","The job is not a cake walk, it's hard work",Current Employee ,,"Thank you for all you do, keep pushing us to work harder, it pays off!",,
2/11/18,1,Customer Service Representative,"""Geico Experience""",you get paid and that is important.,you have to work there,Current Employee ,"Poway, CA",none,Poway, CA
2/9/18,1,Legal Secretary,"""Legal Secretary""","I literally cannot think of any pros except the fact that you can dress casually if you’d like, and that’s about it.","Awful company to work for. First of all, you will be grossly underpaid and expected to do a tremendous amount of work without a “thank you” or a “good job.” The office is understaffed because it makes the manager look better if they have less support staff working there, and gives the manager a better raise every year. The attorneys do not do any work, they just dump everything on their legal secretaries and expect it to be done right away. You will have piles of work on your desk, it’s not even worth taking a day off because you will just be overloaded when you come back. The attorneys think they are better than the secretaries just because they have law degrees. Attorneys can do whatever they want- they come in and out of the office as they please, work from home whenever they want, and they do not have to justify to anyone where they are. They pretend they are in Court for the entire day even if it clearly says otherwise on their calendars. Also, if you dare complain to upper management about anything, it will only get you in trouble and your boss will make your life a living hell. It will not help your situation at all. By the way, profit sharing is ok but you will only keep the money in your 401K if you stay with the company for 5+ years which no legal secretary wants to do. I guess this is their way of ensuring that you don’t leave the company. Another wonderful thing is that GEICO will not close the office for snow days. That means that if there is 19 inches of snow outside and you decide you can’t make it into work, they will take it from your vacation time. Funny how a car insurance company doesn’t care if you risk your life to get to work. Better to leave and find a new job than deal with this place. The stress, belittlement, and anxiety is not worth the crappy paycheck.",Former Employee ,,See above.,,
1/5/18,4,TA-1 Examiner,"""high stress""",money was great keeps your mind busy,not everyone is cut out for this,Former Employee ,"Woodbury, NY",better work life baance,Woodbury, NY
1/17/18,3,Anonymous Employee,"""Customer service representative""","Pay, benefits and fellow associates.",The policyholders and feeling like you have to babysit them instead of educate them on insurance. Being micromanaged.,Current Employee ,,Give your representives a break. We are the foot soldiers that bear the brunt of the abuse that Geico's policyholders so willingly give. Have more team building activities to Increase moral. Offer classes that teach policyholders about basic insurance and proration. Give associates longer lunches. Make sure that there is enough help on the floor. Especially on Saturdays. If associates have to be in on saturdays make sure they don't have to hunt for help. Your coverage map doesn't help if those people aren't at their desk or if they are but helping 12 other associates.,,
2/8/18,1,Claims Service Representative,"""Claims Adjuster""",The starting pay is good,"Poor management, not properly trained, non-professional environment, very elementary, nothing is private, horrible parking.",Former Employee ,"Richardson, TX",Train your supervisors to listen to employees instead of assuming they know the answer to a question and if your in a private meeting don't say anything negative about your coaches since the info will get back to them and then they will not help you.,Richardson, TX
1/19/18,2,Customer Service Representative,"""Mixed""","Great training and support during first month or so on phones. After that, very hard to find a manager for assistance and forget about it if the customer wants to speak to one.","Micromanaged down to the time you spend in the bathroom, goals that contradicted each other, management not always friendly.",Former Employee ,"Virginia Beach, VA",,Virginia Beach, VA
1/3/18,4,Anonymous Employee,"""Overall Great Place to Work""","Benefits are great, pay is decent, coworkers are friendly, management opportunity if you pursue it",Inflexible hours and must move out of state to pursue career,Current Employee ,,,,
1/18/18,3,Anonymous Employee,"""Claims Adjuster""",1. Decent training2. Great management3. Benefits- good,1. Do the same thing every day2. No Growth3. Potential to be promoted is small,Former Employee ,,,,
1/1/18,4,Anonymous Employee,"""Telephone Claims Rep""",Provides good training. Good opportunity for professional growth and advancement. Good pay and benefits.,Heavy workload which usually requires long days.,Current Employee ,,,,
12/31/17,4,Anonymous Employee,"""Management Development Program, Auto Damage""",Great management and training. Profit Sharing.,Monitored phone calls. Dealing with adverse shop advisers.,Current Employee ,,need separate department that fully handles Total Losses,,
1/8/18,3,Underwriter,"""Underwriter""",Excellent Profit Sharing / 4 day work schedules available / good starting pay without prior experience/ Management makes efforts to support motivation and a fun work environment,"All Underwriters are now required to be on a helpline fulltime taking calls from sales, service, claims and policyholders. The call requirements are very rigid. If you make any small mistake you lose the entire call which can sink your results for the month. Tenure is not valued. Management always values productivity over quality. You are rated on productivity, phone calls and quality. If you make even one error in any category it is difficult to get an acceptable overall rating because the sample of work reviewed is not large enough and the sample of work is not the same for all associates.Job descriptions are different between regions. Some offices do not require all underwriters to take helpline calls.",Current Employee ,"Lakeland, FL","Underwriting is a difficult job that is not appropriately valued by management. You need knowledge of sales, service and claims to successfully do your job. There is no other department held to as high a standard of quality on their work ( updating policies, making decisions based on current guidelines and processing legal letters) while being constantly interrupted by phone calls that require you to drop what you are doing and complete handling the call.",Lakeland, FL
1/14/18,3,Customer Service Representative,"""Well Paid & Well Over-Worked""","I Worked for Geico in Customer Service for 13 years. Great Benefits, 401k, Profit Sharing. Pay is great too if you make it work for you, but the trick is to move up in your department as quickly as possible because goals and metrics change constantly and you will rank differently every few months based on the adjustments.","Forced Schedule changes, constant change in metrics, unrealistic expectations and the level of micro-management is beyond higher than necessary",Former Employee ,"Woodbury, NY",,Woodbury, NY
1/9/18,2,Claims Service Representative,"""You're expendable""",Most people you work with are very intelligent and talented. The training is one of the best in the industry.,Supervisors may have less experience than you and if they mess up it's your fault ultimately because it's your claim file. You can get marked down for not clicking a box that had nothing to do with the outcome of your claim or how well you handled it.,Former Employee ,"Tucson, AZ",,Tucson, AZ
12/29/17,4,Geico Field Representative,"""Geico Field Representative""","Great people, competitive pay immediately after licensing, flexible hours, short commute, opportunities for self-started projects","Limited growth potential, bordering on telemarketing at times",Current Employee ,"Pittsburgh, PA",none,Pittsburgh, PA
1/3/18,3,Customer Service Representative,"""Turnover is ridiculous.""","The pay, profit sharing, schedule flexibility, potlucks, team meetings. It's a great experience to add to your resume. Useful when looking for better opportunities. They also have relocation opportunities",Most days you literally don't get a second to breathe before the next call comes in. You get 2 fifteen minute breaks and a 45 minute lunch. They took away personal time so you must fit your restroom time in during your break or be asked why you need to use the restroom. Micromanage is an understatement. Your supervisor is literally over your shoulder for your calls making it very uncomfortable. The metrics are a bit ridiculous. They have started to force selling on those of us who simply got hired for customer service positions. The metrics for selling property insurance have been boosted in the last three yrs so you could actually lose your job for not being a great seller. Since these changes have come about there has been a spike in turnover and the geico office in Indy is starting to panic and ask why. You could get a new supervisor at any time and they hire those fresh out of college who don't know anything about insurance let alone Geico. So you get stuck with a new supervisor that's supposed to help you but you end up knowing more than them.,Current Employee ,"Indianapolis, IN","Do more hiring within. It makes no sense that in this extremely stressful environment you're bringing in people who can't help. How can we handle irate customers, meet metrics, and be expected to train the person over us? If you are going to continue hiring outside sups get them more training, ie more time on the phone and they should be trained for reissues, surge, as licensed states before they hit the floor. Stop throwing these people to the wolves, so when we ask them questions they have no clue.",Indianapolis, IN
12/28/17,5,Sales Representative,"""Sales Associate""","Profit sharing, great benefits, and there are a lot of advancement opportunities",Can be stressful when on the phones,Current Employee ,"Macon, GA",,Macon, GA
1/9/18,3,Bodily Injury Claims Examiner Litigation,"""GEICO""","Good salary and benefits. Profit Sharing is great, it helps grow your retirement account.",The work load is a lot. Supervisors and managers expect you to be available for meetings at 6am and 6pm. My shift was 8:30 - 5.,Former Employee ,"Getzville, NY",,Getzville, NY
1/9/18,2,Claims Service Representative,"""Management very inexperienced, would recommend working at supermarket than here dont waste life, money isnt everything""",good payeasy to move up in companyBenefits medical dental,Vanguard (dont do it they take your money and you never get it back)management blowssupervisors are no helpvery strict rulesgrading of job is by supervisors and is done based on few calls in a random basisthey will monitor you 24/7 like a hawkcall centers are so dull and have no life like how tv depicts it,Current Employee ,"Getzville, NY",get people with some management experience,Getzville, NY
1/29/18,1,Customer Service Representative,"""Customer Service""",Initially the pay draws you in but after working there you realize you are severely underpaid for the job you do .,"I have worked customer service for over 10 years and this is by far the worse call center I’ve ever worked at. Setting monthly goals is a given when working in this environment but they completely over do it. So much so they have a lot of employees out on stress leave. I’ve never even known what that was until i worked here everyone is working the system at Geico to get FMLA approved to avoid getting fired or simply because they’re so stressed out. There is no work and life balance because they have a strict attendance policy. They expect you to be at work 100% of the time and tour supervisor isn’t held to the same standard. Most days when it was busy all the supervisors would call out and we would be left stranded with no help on getting things approved by a manager if we needed it which then effected our goals. They set unrealistic goals and stress people out feeling like they’re always going to lose their job. When i started my training there were 12 people in my class before the 1st year ended there were 3 of us left. They have a ridiculous turnover rate of 75%-80%. Customer service agents are expected to clean up messes of the sales agents , claims department , and home insurance agents. Whenever those agents don’t want to deal with an irate customer they transfer them to you and your left to deal with a customer you can’t help. They are always changing their “scripts” and never update you on the way they want things done so everyone is doing it different . You are monitored on all your calls and get docked for the most ridiculous things. I was so miserable working there i will NEVER EVER recommend this place to anyone at all. I took a 5.00 pay cut just to not have to work here anymore.",Former Employee ,"Poway, CA",VALUE YOUR EMPLOYEES! If you can’t get on the phones and do what they do everyday and maintain the goals for the month then you shouldn’t uphold them to that standard!,Poway, CA
1/30/18,1,Claims Service Representative,"""Claims Customer Service Representative""",Geico will hire almost anyone,"-Under paying associates in all positions, they are no where near on par with competitors, as they are ""The Low Cost Provider"" similar to ""Low Paying Employer""-They don't care about ""Work/Life Balance""-Associates have to bring their children and infant ba",Current Employee ,"Katy, TX",#NAME?,Katy, TX
12/19/17,5,Customer Service Representative,"""customer service agent""","excellent pay, great benefits, amazing training environment, fun place to work","irate customers, favortisim, parking",Former Employee ,"Lakeland, FL","Amazing keep up the good work! additionally, if you can make another parking lot that would be great",Lakeland, FL
1/30/18,1,Customer Service Representative,"""Insurance agent""",The vast insurance knowledge that you will gain and put forward towards your next job is utterly phenomenal. I couldn’t have asked for better training. My managers were also all fairly nice but total robots.,"Absolutely everything else. It will suck your soul. The micro managing is off the charts and it was the worst experience of it I’ve ever encountered. Their building is like a factory and management is friendly but you will never please them. The negative feedback is draining to your heart and soul and is absolutely demotivating and will make you strive to reach more outside of Geico. This is the absolute worst job I’ve ever had but also the best because I’ve applied all of my knowledge onto my next insurance job which I’m in love with (because I now work for an amazing insurance company that values their employees and in turn, makes me work harder for them and has instilled a sense of loyalty to them - this is something Geico has failed to learn about human nature and psychology). Utilize Geico to get your license and just learn as much as you can and leave. If you’re new to insurance, take it, learn and run. Stay about 1-2 years to reap the benefits but know you’ll be in hell and you just need to deal with it because Geico is about earning your stripes in insurance, at least it was for me.",Former Employee ,"Poway, CA",Value your employees. Let them have a shred of personality on their calls. Stop treating your employees like idiotic robots.,Poway, CA
1/27/18,1,Anonymous Employee,"""Cheap and Old-fashioned""","- If it's your first job, you will learn what it's like to work in a corporate environment.","- This is the low-cost insurance provider, and as such it is the low-cost employment provider. Do not expect to be paid near market salary for your skills. Company doesn't even provide coffee for free to employees.- Management is old-fashioned not only in",Former Employee ,,"Increase diversity of executives, increase diversity in recruiting, catch up to the 21st century standard of things employers provide to their employees.",,
12/24/17,4,Anonymous Employee,"""field adjuster""","Schedule, hours, benefits, advancement opportunities",Starting pay is a little low but will gradually increase,Current Employee ,,,,
1/3/18,2,Product Modeling Analyst,"""Product Modeling Analyst""",Work life balance. You don’t have access to you work stuffs after work hour. So basically you are totally free from emails and work.Extremely high job security.,They didn’t treat you as an adult. You have to swipe in and swipe out and make sure you stay strictly 7.75 hours everyday.They didn’t value your work that much except you are in marketing department basically because they only need the premium for investments so they don’t care other things too much. It shows on your payments. Anyone can easily get a better paid job out of here.It’s a super cheap company.,Former Employee ,"Chevy Chase, MD",I don’t think they care.,Chevy Chase, MD
1/23/18,1,Sales Representative,"""Way too man cons to even think about coming back.""",The pros of this place was learning a ton about insurance from their serious training and gaining my Insurance License in 49 states while getting paid for it all. SOME people there were cool and nice. The pay and raises were pretty good and I made way more than my salary from bonuses. 4th month in I got a 8.5k check for double bonus month.,"Where to begin.. The micro management was awful. I never had 3 managers watching my all movements ever. A ""coach"" who doesn't coach you, they sit on their phones and listen to you talk on the phone to say hey read the script again. The supervisor coach was just 2 people who showed up when you went off topic for being caring to the customer and making conversation to buy the product( oh nice car, I had the same one but redid the air intake or tires) and the coach didn't catch it. The actual supervisor was playing nice and good cop but really was just a puppet.  I was being stop watched going to the bathroom(including they advise you to take a half day for using the bathroom longer than 3 mins to poop). My desk was 5 steps from the bathroom and I take less than 45 secs to pee but it was like trying to beat the faster time before every time cause they just watched you and timed you every time.How they treated others completely different. If you are on the management path: they will suck up to you like you are the next CEO but anyone under it man just look for a new job on their computers. They wouldn't have a normal conversation with you and go to someone else like yo man how was your weekend when you just asked them the same question but got ""uh it was alright, bye."" The weeding out people was annoying and I surpassed every tactic they pulled to put over my head but man they try to say you talk inappropriately at the lunch table cause your coach will ask what bar you went to and if I liked it but next day I'm being talked to about it by my manager. I wouldn't trust a single soul in there for the first 6 months. They are there to test you and weed you out no matter your points or ppah.They want the sale and nothing else, They will fire you and already have someone in your desk before your brown box leaves your desk.",Current Employee ,"Fredericksburg, VA",Chill out on your employees. They know how to do their job or else they wouldn't have made it so far. My review won't change anything so no point in this.,Fredericksburg, VA
1/4/18,2,Underwriter,"""Working at GEICO""","Energetic, fast past company that provides various insurance products to consumers. The company employees 33k employees and has been in business for more than 75 years.",The company is growing very fast but today’s technology in many forms in not growing with the company,Current Employee ,"Woodbury, NY",Technology is a major functioning need for employees to do their job. Unfortunately this is not always priority when it comes to functioning correctly. The computer systems need a major overhaul.,Woodbury, NY
1/5/18,3,Anonymous Employee,"""Benefits""","Ok benefits...Plenty of work, if you want to be challenged",401k gets a bigger portion of your bonus. No employer match,Former Employee ,,Better work life balance,,
1/5/18,3,Anonymous Employee,"""Claims Rep""",the pay is absolutely great!,vacation and sick time sucks!you accrue 2.98hrs every 2wks!do not get pay for inclement weather. you have to use your time that's on the books.,Current Employee ,,be more in tuned with your employees! be more understanding that LIFE happens.,,
12/14/17,2,Senior DevOps Engineer,"""Not for everyone""","* You are being paid money* Job security* Lots of opportunities for lateral movement to other departments (if you can live with the cons below)* For IT positions there's a sign-up bonus if you self-refer (otherwise it's paid as a referral bonus)* There are a couple table tennis and fussball tables in the cafeteria (no XBoxes, sorry)","This review is for an IT position based off Chevy Chase (aka HQ, aka Plaza) office. The reviews here are heavily diluted by sales and call center personnel, who aren't quite as spoiled and demanding as the IT posse. If I knew the things listed here I probably wouldn't accept the offer in the first place. I hope this will save someone some time and effort. I'm doing my best to stick to the facts.* There is a[t least one] PAID water cooler at GEICO. Yes, I'm being serious. Some people may stop reading the review here and I can't blame them. This will probably answer any questions you may have about snacks/coffee/soda etc. Tap water is free and abundant (at the time of this writing).* On a somewhat related note, GEICO - quote - doesn't provide headsets for laptops - unquote.* You have to clock-in and clock-out when you arrive and leave. I honestly haven't done this since working as a lifeguard while at school. There are turnstile gates and revolving doors. They may tell you that this is for security purposes only and they want to be sure everyone has left the building in case of an emergency, but your supervisor and HR do have access to your ins and outs and are not afraid to use it.* Although GEICO positions itself as a ""family friendly"" company, it offers zero maternity/paternity benefits. Also, it's the only employer in my career that is open on Friday after Thanksgiving.* GEICO is very proud of its ""Total rewards"" (tm, patent pending) benefits package. The truth is, it is average. You get three health plans (high deductible, low deductible and HMO/Kaiser), two FSA options, good dental plan, a number of life/travel/ADND coverage options, PTO and some minor stuff like employee discounts at various vendors. However, your benefits will not start on your first day. They won't even start on the 1st of next month or on day 30. GEICO apparently has some trust issues, so your benefits will kick in 70-86 days after your start (depending on your start date). Similarly, you start accruing PTO on your first day, but can't use it for six months. Nothing fancy and excessive you may see at other IT companies like ""unlimited PTO"", free food, stork money etc.* GEICO profit sharing plan deserves a separate bullet in this list. It's a replacement for both 401(k) match (which GEICO doesn't have) and bonus incentive. The way it works is: every year, based on overall company performance (and not your personal one) the management sets profit-sharing number at a certain percentage of everyone's annual salary. Associates are actually not allowed to disclose the exact number, cause this may upset some clients who got a rate increase and such. Well, let's assume that the last year this number was set to 17% (entirely fictional number I just came up with) and your salary is 100K. You get 10K (first 10%) to your retirement plan and 7K goes to you as cash payout (17-10=7%). It looks pretty good, however you should know that your 10% retirement contribution becomes fully vested after SIX YEARS of your service.* The pay is ok and not very generous as some people claim here. I got 5K bump compared to my previous job and my new one is 5K above that, which places GEICO in reasonable mid-market range.* There are ""designated cell phone areas"" around the building, contributing to the ""corporate prison"" atmosphere. The HR training specifically mentions that you are not allowed to take pictures on premises, and if you have an event you'd like to have documented, you have to invite a representative of a marketing team who is trained to ensure all sensitive information is removed prior to releasing photos. (Again, I'm dead serious. The HR training also specifically mentioned not to attempt to take a selfie with Warren Buffet should you encounter him on campus.)* A few more examples of signs posted to give you a better sense of GEICO's corporate culture: ""WARNING. Taking food NOT belonging to you is considered STEALING. Security will be monitoring the area."" Another one: ""The TONE ZONE is a CONTROLLED ACCESS AREA. Please keep the door closed at all times. Your privileges will be revoked if you are seen blocking the door open or allowing any unauthorized users to enter the TONE ZONE. Thank you"" (this is verbatim). I will leave it for you to interpret the language and connotations.* You should lock you laptops when you leave them in the building overnight using the Kensington-type locks provided. Although this is pretty common practice, I was told that here security officers enforce this policy by sneaking through the cubes and reporting violators (instead of doing their actual job - which is to prevent theft of said laptops), and you may be called to HR if you don't.* GEICO doesn't believe in telecommuting. There are about 7 employees who are working remotely on a regular basis (out of 38000). Occasionally it is allowed, but rarely.* You need approval to install anything on your computer. I requested permission for a popular free GIT client on 11/9 and the target date for the decision was set to mid-December. Same for anything else you can think of if it hasn't been previously approved. Yes, we have access to production databases with people's social security numbers, but can't install Greenshot.* I've seen some reviews mentioning ""cutting edge"" technology (there is also a very funny, obviously ""sponsored"" article comparing GEICO IT to Apple in terms of potential employment). Well, it's the end of 2017, and I was given a Windows 7 laptop, Office 2010 and MS Office Communicator 2007 R2 (no Slack, HipChat, MatterMost or anything of that sort). There's also a mainframe which is being actively used. You can decide how cutting edge this is.* Internet access is proxied and LOTS of websites are blocked. I mean, I would expect to have adult and file sharing sites blocked - this is standard. But this also applies to categories such as politics, travel (you actually have to check a checkbox confirming this is business-related) or simply a perfectly legit work-related website that has ""low web reputation score"". Why can't you just trust your employees at least a little bit? Download speeds will remind you of that 1.5Mbps DSL you had in 2005.* There is dress code. Basically, it's business casual and you will be given a PDF brochure listing what to wear and not to wear (not quite Apple, huh). Also, sometimes teams and individuals are allowed to wear jeans as a positive reinforcement for meeting performance goals, winning a competition, donating blood etc. This is the saddest incentive I've seen in my life.* I had to submit FOUR timekeeping reports - Workday time-sheet, MS Project time-sheet, VSTS user stories and daily email report to my supervisor. To be fair, you don't have to touch Workday if you worked full week without absences and daily email report is only required during first two months.* The building was built in 1960 and looks a lot like a hospital. This isn't a big deal, but those of you coming from trophy office spaces of Reston or A-class offices in downtown may be slightly disappointed. If you apply now, you may still see the old elevators with hand cranks, those are being replaced. Restroom stalls are about 2 x 2' and your work place will be slightly larger than that (they got rid of cubicles and now most of the building is open space rows of tables). You will often kick the person sitting on the opposite side of the row. He or she may reciprocate by kicking you. This fosters teamwork and collaboration.* There is dry law here. All events are strictly alcohol-free and you are repeated you can't have a glass of wine with your lunch (as if you are a college freshman with binge issues). As with everything else listed above, this is enforced. This isn't a big deal by itself, just underlines overall trust issues.* GEICO is my only employer where, after submitting resignation, I was ESCORTED out of the building. :)",Former Employee ,"Chevy Chase, MD",None,Chevy Chase, MD
1/3/18,3,TCR I Liability Claims Adjester,"""Liability Claims Rep""",Pay and benefits are good,award winning training didn't even tell you how to go through one claim - had to ask for example. hard to finish work required in 40 hours and of course you will receive a bad rating if your work isn't done in a specified time no matter the amount of claims processed based on unrealistic timeframes.,Former Employee ,"Fredericksburg, VA",,Fredericksburg, VA
1/1/18,3,Anonymous Employee,"""Job""",Good pay and team work,Stressful and critical management,Former Employee ,,,,
